month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2017-08-01,Bronx,EXP,BXM1,Off-Peak,15106.94,2.565324328,1.387789857,63.8327186
2017-08-01,Bronx,EXP,BXM1,Peak,13239.57,2.237830872,2.156472982,60.8855489
2017-08-01,Bronx,EXP,BXM10,Off-Peak,13588.23,2.375111623,1.497645704,62.9664243
2017-08-01,Bronx,EXP,BXM10,Peak,15568.35,1.477804488,4.510343507,49.8359678
2017-08-01,Bronx,EXP,BXM11,Off-Peak,11258.34,3.163328438,2.276955434,55.4528337
2017-08-01,Bronx,EXP,BXM11,Peak,10347.12,1.972121488,5.35224058,43.9218914
2017-08-01,Bronx,EXP,BXM18,Off-Peak,1918.52,1.655696518,3.767438197,53.4690449
2017-08-01,Bronx,EXP,BXM18,Peak,3492.38,3.18639803,1.699580738,57.3804072
2017-08-01,Bronx,EXP,BXM2,Off-Peak,8965.88,3.396132262,1.327256935,59.2298166
2017-08-01,Bronx,EXP,BXM2,Peak,6403.39,2.58755501,2.40241397,60.2335814
2017-08-01,Bronx,EXP,BXM3,Off-Peak,7017.14,2.914141023,2.686971036,54.0908382
2017-08-01,Bronx,EXP,BXM3,Peak,7257.24,2.402540265,2.975956682,52.0376603
2017-08-01,Bronx,EXP,BXM4,Off-Peak,3617.1,3.27438365,0.903426778,63.4804564
2017-08-01,Bronx,EXP,BXM4,Peak,3727.64,3.791991781,3.627435822,47.1098455
2017-08-01,Bronx,EXP,BXM6,Off-Peak,5705.48,4.36798113,2.973135678,49.4633894
2017-08-01,Bronx,EXP,BXM6,Peak,6358.11,1.920660646,4.339122262,49.2906094
2017-08-01,Bronx,EXP,BXM7,Off-Peak,28331.1,1.903230951,2.524705215,61.0396434
2017-08-01,Bronx,EXP,BXM7,Peak,22403.51,1.16720755,5.71765913,47.2262114
2017-08-01,Bronx,EXP,BXM8,Off-Peak,13604.33,2.697624031,2.380728044,58.8487669
2017-08-01,Bronx,EXP,BXM8,Peak,16743.01,1.64339843,4.032437558,51.5792951
2017-08-01,Bronx,EXP,BXM9,Off-Peak,22234.47,1.888838043,2.158176947,64.2038739
2017-08-01,Bronx,EXP,BXM9,Peak,20820.33,1.429565065,4.906134986,49.78472
2017-08-01,Bronx,LCL/LTD,BX1,Off-Peak,219531.64,2.051653118,0.696009701,70.1999545
2017-08-01,Bronx,LCL/LTD,BX1,Peak,144822.4,1.963801184,0.855400429,68.3975101
2017-08-01,Bronx,LCL/LTD,BX10,Off-Peak,142222.2,1.262757028,0.150510701,78.2773277
2017-08-01,Bronx,LCL/LTD,BX10,Peak,98257.17,0.869034686,-0.195988741,85.6885107
2017-08-01,Bronx,LCL/LTD,BX11,Off-Peak,177312.86,1.555326883,0.22830984,77.2575616
2017-08-01,Bronx,LCL/LTD,BX11,Peak,131424.84,1.323968038,0.13293955,80.1697181
2017-08-01,Bronx,LCL/LTD,BX12,Off-Peak,172113.26,1.152939788,-0.027915737,81.9875261
2017-08-01,Bronx,LCL/LTD,BX12,Peak,91489.08,1.329719741,-0.052048073,78.7922742
2017-08-01,Bronx,LCL/LTD,BX13,Off-Peak,175536.89,1.229041301,0.38447326,79.1259495
2017-08-01,Bronx,LCL/LTD,BX13,Peak,116598.77,1.353314848,0.080462928,81.438804
2017-08-01,Bronx,LCL/LTD,BX15,Off-Peak,346648.71,2.545093835,1.189841636,65.8706313
2017-08-01,Bronx,LCL/LTD,BX15,Peak,223538.71,1.915988813,0.530682279,72.8250031
2017-08-01,Bronx,LCL/LTD,BX16,Off-Peak,100510.66,1.794933607,0.730066434,74.4378198
2017-08-01,Bronx,LCL/LTD,BX16,Peak,73813.02,1.263392963,0.579740048,77.156545
2017-08-01,Bronx,LCL/LTD,BX17,Off-Peak,145317.4,2.440069192,0.568305149,70.456878
2017-08-01,Bronx,LCL/LTD,BX17,Peak,104463.61,1.640293014,0.188561408,76.9144244
2017-08-01,Bronx,LCL/LTD,BX18,Off-Peak,26020.59,3.323643617,-0.291641831,67.2136523
2017-08-01,Bronx,LCL/LTD,BX18,Peak,22621.43,2.163317378,-0.343984209,70.3578386
2017-08-01,Bronx,LCL/LTD,BX19,Off-Peak,384453.09,2.106883244,1.045955821,68.1773522
2017-08-01,Bronx,LCL/LTD,BX19,Peak,240402.77,1.657920405,0.762697874,73.3232731
2017-08-01,Bronx,LCL/LTD,BX2,Off-Peak,302413.46,1.79297815,0.138306551,73.7131893
2017-08-01,Bronx,LCL/LTD,BX2,Peak,156550.71,1.601318095,0.12406733,75.5884851
2017-08-01,Bronx,LCL/LTD,BX20,Off-Peak,2418.07,1.970876045,1.013469803,78.3823948
2017-08-01,Bronx,LCL/LTD,BX20,Peak,12867.31,1.595126277,0.55528563,79.9321488
2017-08-01,Bronx,LCL/LTD,BX21,Off-Peak,212939.41,2.00089927,0.817713023,70.7018669
2017-08-01,Bronx,LCL/LTD,BX21,Peak,147408.7,1.489070881,0.159733492,77.9072566
2017-08-01,Bronx,LCL/LTD,BX22,Off-Peak,174914.88,1.606323869,0.339803,78.3173425
2017-08-01,Bronx,LCL/LTD,BX22,Peak,118104.43,1.46744886,0.31017015,78.2828768
2017-08-01,Bronx,LCL/LTD,BX23,Off-Peak,39773.98,3.521552853,-0.1882144,74.082924
2017-08-01,Bronx,LCL/LTD,BX23,Peak,43429.57,1.574043338,-0.281034184,83.5683893
2017-08-01,Bronx,LCL/LTD,BX24,Off-Peak,10330.01,2.262865372,0.53642727,83.0963356
2017-08-01,Bronx,LCL/LTD,BX24,Peak,6123.8,2.073241022,-0.042103714,89.6097682
2017-08-01,Bronx,LCL/LTD,BX26,Off-Peak,106117.31,1.369577067,0.746128114,76.2370017
2017-08-01,Bronx,LCL/LTD,BX26,Peak,76858.12,0.861069396,-0.466432248,84.685917
2017-08-01,Bronx,LCL/LTD,BX27,Off-Peak,118610.65,1.077343487,0.323615316,82.5858537
2017-08-01,Bronx,LCL/LTD,BX27,Peak,88531.02,0.872177136,-0.150241769,86.226483
2017-08-01,Bronx,LCL/LTD,BX28,Off-Peak,130603.98,1.676926445,1.199503585,72.3884788
2017-08-01,Bronx,LCL/LTD,BX28,Peak,72645.2,1.196407225,0.430619098,79.1531683
2017-08-01,Bronx,LCL/LTD,BX29,Off-Peak,33673.08,2.200062919,0.902560749,79.522267
2017-08-01,Bronx,LCL/LTD,BX29,Peak,21470.97,1.170435272,0.879951042,86.907562
2017-08-01,Bronx,LCL/LTD,BX3,Off-Peak,203493.56,1.380916044,0.383880288,78.4403422
2017-08-01,Bronx,LCL/LTD,BX3,Peak,127348.19,1.183767336,0.220478998,81.2250677
2017-08-01,Bronx,LCL/LTD,BX30,Off-Peak,127512.73,2.034476759,0.902241566,70.5913827
